id,label,Spearman_allwords,Spearman_dependents,adjacent_post,adjacent_tag,nearest_dep,nearest_dep_tag,pmi_adjacent,pmi_neardep,root_verb
cf01.1.0,ref,0.092980324,-1,higher,JJR,higher,JJR,-1.503254446,-1.503254446,rates
cf01.1.1,post-adv,-0.001805443,-1,higher,JJR,higher,JJR,-1.503254446,-1.503254446,rates
cf01.2.0,ref,-0.438984489,0,the,DT,example,NN,-4.972718629,0.301443272,is
cf01.2.1,dat-np-np,-0.489306086,0,the,DT,example,NN,-4.972718629,0.301443272,is
cf01.3.0,ref,0.169073355,1,readily,RB,readily,RB,0.508775923,0.508775923,could
cf01.3.1,post-adv,0.558581227,1,readily,RB,readily,RB,0.508775923,0.508775923,could
cf01.4.0,ref,0.258441617,1,probably,RB,probably,RB,0.508775923,0.508775923,would
cf01.4.1,pre-adv,0.175794863,1,probably,RB,probably,RB,0.508775923,0.508775923,would
cf01.6.0,ref,-0.016878989,1,still,RB,still,RB,0.508775923,0.508775923,was
cf01.6.1,pre-adv,0.007118565,0.866025404,still,RB,still,RB,0.508775923,0.508775923,was
cf01.7.0,ref,-0.432687584,0,the,DT,they,PRP,-4.972718629,0.701568669,shared
cf01.7.1,pre-adj2,-0.432687584,0,the,DT,they,PRP,-4.972718629,0.701568669,shared
cf01.8.0,ref,0.061958938,1,a,DT,romance,NN,-4.972718629,0.301443272,becomes
cf01.8.1,pre-adj2,0.061958938,1,a,DT,romance,NN,-4.972718629,0.301443272,becomes
cf01.8.2,post-adv,0.06000645,1,a,DT,romance,NN,-4.972718629,0.301443272,becomes
cf01.8.3,post-adv,-0.055190315,1,a,DT,romance,NN,-4.972718629,0.301443272,becomes
cf01.8.4,post-adj2,0.048161359,1,a,DT,romance,NN,-4.972718629,0.301443272,becomes
cf01.11.0,ref,-0.015252766,0,conveyed,VBN,conveyed,VBN,0.506381559,0.506381559,was
cf01.11.1,post-adj2,-0.40627822,0,conveyed,VBN,conveyed,VBN,0.506381559,0.506381559,was
cf01.14.0,ref,0.045693592,0.866025404,there,RB,there,RB,0.508775923,0.508775923,was
cf01.14.1,post-adj2,-0.026893943,0,in,IN,in,IN,-2.88295062,-2.88295062,was
cf01.16.0,ref,0.354139852,0.774596669,only,RB,only,RB,0.508775923,0.508775923,is
cf01.16.1,post-adj3,0.354139852,0.774596669,fairly,RB,fairly,RB,0.508775923,0.508775923,is
cf01.16.2,post-adj3,0.354139852,0.774596669,however,RB,however,RB,0.508775923,0.508775923,is
cf01.16.3,post-adj3,0.354139852,0.774596669,only,RB,only,RB,0.508775923,0.508775923,is
cf01.16.4,post-adj3,0.354139852,0.774596669,however,RB,It,PRP,0.508775923,0.701568669,is
cf01.16.5,post-adj3,0.354139852,0.774596669,fairly,RB,fairly,RB,0.508775923,0.508775923,is
cf01.20.0,ref,-0.115488533,0,certain,JJ,there,EX,-1.503254446,0.903833231,are
cf01.20.1,pre-adv,0.007311232,1,certain,JJ,there,EX,-1.503254446,0.903833231,are
cf01.26.0,ref,1,1,definitely,RB,definitely,RB,0.508775923,0.508775923,is
cf01.26.1,pre-adv,0.044800952,1,definitely,RB,definitely,RB,0.508775923,0.508775923,is
cf01.28.0,ref,-0.030316347,0,telling,VBG,telling,VBG,0.506381559,0.506381559,was
cf01.28.1,pre-adv,-0.039683314,1,telling,VBG,telling,VBG,0.506381559,0.506381559,was
cf01.30.0,ref,0.014337828,0,been,VBN,been,VBN,0.506381559,0.506381559,has
cf01.30.1,pre-adv,0.058938379,1,been,VBN,been,VBN,0.506381559,0.506381559,has
cf01.31.0,ref,0.010813189,0,that,IN,that,IN,-2.88295062,-2.88295062,demonstrated
cf01.31.1,post-adv,-0.166135966,0,that,IN,that,IN,-2.88295062,-2.88295062,demonstrated
cf01.31.2,pre-adv,0.09304682,0,that,IN,that,IN,-2.88295062,-2.88295062,demonstrated
cf01.33.0,ref,-0.149156311,1,the,DT,interview,NN,-4.972718629,0.301443272,brings
cf01.33.1,post-adv,-0.632455532,1,the,DT,interview,NN,-4.972718629,0.301443272,brings
cf01.40.0,ref,-0.090410342,0,like,IN,like,IN,-2.88295062,-2.88295062,goes
cf01.40.1,pre-adj2,-0.090410342,0,like,IN,like,IN,-2.88295062,-2.88295062,goes
cf01.43.0,ref,0.49280538,0,referred,VBN,referred,VBN,0.506381559,0.506381559,is
cf01.43.1,post-adj2,0.231908414,0,referred,VBN,referred,VBN,0.506381559,0.506381559,is
cf01.49.0,ref,-0.088695955,0,that,IN,that,IN,-2.88295062,-2.88295062,reveals
cf01.49.1,post-adv,0.270281239,0,that,IN,that,IN,-2.88295062,-2.88295062,reveals
cf01.52.0,ref,0.021000526,-1,significant,JJ,significant,JJ,-1.503254446,-1.503254446,is
cf01.52.1,pre-adv,0.037459161,0.5,significant,JJ,significant,JJ,-1.503254446,-1.503254446,is
cf01.55.0,ref,-0.407019975,0,bare,VB,bare,VB,0.506381559,0.506381559,laid
cf01.55.1,pre-adj2,-0.407019975,0,bare,VB,bare,VB,0.506381559,0.506381559,laid
cf01.57.0,ref,0.479635,0,give,VB,give,VB,0.506381559,0.506381559,is
cf01.57.1,post-adj2,0.103032704,0,give,VB,give,VB,0.506381559,0.506381559,is
cf01.58.0,ref,-0.322635347,0,these,DT,these,DT,-4.972718629,-4.972718629,are
cf01.58.1,pre-adv,0.3527235,-1,these,DT,these,DT,-4.972718629,-4.972718629,are
cf01.58.2,post-adj2,-0.322635347,0,these,DT,these,DT,-4.972718629,-4.972718629,are
cf01.59.0,ref,0.315480963,0,be,VB,be,VB,0.506381559,0.506381559,may
cf01.59.1,pre-adv,0.506574531,0,be,VB,be,VB,0.506381559,0.506381559,may
cf01.61.0,ref,0.253567814,0,to,TO,to,TO,0.903833231,0.903833231,pays
cf01.61.1,pre-adv,0.136082763,1,to,TO,to,TO,0.903833231,0.903833231,pays
cf01.63.0,ref,0.052010702,1,here,RB,here,RB,0.508775923,0.508775923,note
cf01.63.1,post-adv,0.051234423,1,here,RB,here,RB,0.508775923,0.508775923,note
cf02.3.0,ref,-0.329756513,-0.866025404,in,IN,in,IN,-2.88295062,-2.88295062,arrived
cf02.3.1,pre-adv,-0.274381784,-0.866025404,in,IN,in,IN,-2.88295062,-2.88295062,arrived
cf02.3.2,post-adj2,-0.320619683,-0.866025404,on,IN,on,IN,-2.88295062,-2.88295062,arrived
cf02.4.0,ref,0.547757135,1,her,PRP,her,PRP,0.701568669,0.701568669,marked
cf02.4.1,post-adv,0,0,her,PRP,her,PRP,0.701568669,0.701568669,marked
cf02.4.2,post-adj2,0.276955855,1,her,PRP,her,PRP,0.701568669,0.701568669,marked
cf02.5.0,ref,-0.091520377,0,to,TO,to,TO,0.903833231,0.903833231,was
cf02.5.1,pre-adv,0.092213982,1,to,TO,to,TO,0.903833231,0.903833231,was
cf02.5.2,pre-adv,-0.121202662,0,to,TO,to,TO,0.903833231,0.903833231,was
cf02.7.0,ref,-0.203808387,0,required,VBN,required,VBN,0.506381559,0.506381559,had
cf02.7.1,post-adv,0.152203887,0,required,VBN,required,VBN,0.506381559,0.506381559,had
cf02.13.0,ref,-0.158288832,-0.5,this,DT,Roosevelt,NNP,-4.972718629,-0.405923499,issued
cf02.13.1,post-adv,-0.119933032,-0.5,this,DT,Roosevelt,NNP,-4.972718629,-0.405923499,issued
cf02.13.2,pre-adv,-0.060072612,-0.5,this,DT,Roosevelt,NNP,-4.972718629,-0.405923499,issued
cf02.15.0,ref,0.509797066,0,being,VBG,being,VBG,0.506381559,0.506381559,is
cf02.15.1,post-adj2,0.094406864,0,being,VBG,being,VBG,0.506381559,0.506381559,is
cf02.18.0,ref,-0.075587169,1,categorically,RB,categorically,RB,0.508775923,0.508775923,state
